ABC,Baixada Santista ,Registro,SJC,SP,Cidades Região SP fora o muncipio
Diadema,Bertioga,Barra do Turvo,Caçapava,Aruja ,Caetas
Diadema,Bertioga,Barra do Turvo,Caçapava,Atibaia ,Contagem 
Diadema,Bertioga,Barra do Turvo,Caçapava,,Cornélio Procólio
Diadema,Bertioga,Barra do Turvo,Caçapava,Caieiras,Caratinga
Diadema,Bertioga,Barra do Turvo,Caçapava,Campo Limpo,Oeiras
Diadema,Bertioga,Barra do Turvo,Caçapava,Carapicuiba,Ponta Porã
Diadema,Bertioga,Barra do Turvo,Caçapava,,Xique-Xique
Diadema,Bertioga,Barra do Turvo,Caçapava,,
Diadema,Bertioga,Barra do Turvo,Caçapava,,
Diadema,Bertioga,Cajati,Campos do Jordão,Ferraz de Vasconcelos ,
Diadema,Bertioga,Cajati,Campos do Jordão,Ferraz de Vasconcelos ,
Diadema,Bertioga,Cajati,Campos do Jordão,Francisco Morato ,
Diadema,Bertioga,Cajati,Campos do Jordão ,Francisco Morato ,
Diadema,Bertioga,Cajati,Jacareí,Franco da Rocha,
Diadema,Bertioga,Cajati,Jacareí,Franco da Rocha,
Diadema,Bertioga,Cajati,Jacareí,Franco da Rocha,
Diadema,Cubatão,Cananéia,Jacareí,Guaíra,
Diadema,Cubatão,Cananéia,Jacareí,Guarulhos,
Diadema,Cubatão,Cananéia,Jacareí,Guarulhos,
Diadema,Cubatão,Eldorado,Jacareí,Guarulhos,
Diadema,Cubatão,Eldorado,Jacareí,Guarulhos,
Diadema,Cubatão,Eldorado,Jacareí,Itaquacetuba,
Diadema,Cubatão,Eldorado,Jacareí,Itaquacetuba,
Diadema,Cubatão,Eldorado,Jacareí,Jandira,
Diadema,Cubatão,Eldorado,Jacareí,Jandira,
Diadema,Cubatão,Eldorado,Jacareí,Jundiaí,
Diadema,Cubatão,Eldorado,Jacareí ,Mogi das Cruzes,
Diadema,Guarujá,Eldorado,Jacareí ,Montes Claros ,
Diadema,Guarujá,Iguape,Jacareí ,,
Diadema,Guarujá,Iguape,Monteiro Lobato,,
Diadema ,Guarujá,Iguape,Monteiro Lobato,Orlândia,
Diadema ,Guarujá,Iguape,Monteiro Lobato,Osasco,
Mauá,Guarujá,Iguape,Monteiro Lobato,Osasco,
Mauá,Guarujá,Iguape,Monteiro Lobato ,Osasco,
Mauá,Guarujá,Iguape,Monteiro Lobato ,Osasco,
Mauá,Guarujá,Ilha Comprida,Monteiro Lobato ,Osasco,
Mauá,Guarujá,Ilha Comprida,Paraibuna,Piracicaba ,
Mauá,Guarujá,Ilha Comprida,Paraibuna ,Piracicaba ,
Mauá,Guarujá,Ilha Comprida,Paraibuna ,Poá ,
Mauá,Guarujá,Ilha Comprida,Paraibuna ,,
Mauá,Guarujá,Itariri,Paraibuna ,Salto,
Mauá,Guarujá,Itariri,Paraibuna ,Santana de Paranaiba,
Mauá,Itanhaém,Itariri,Paraibuna ,São Mateus,
Mauá,Itanhaém,Itariri,Paraibuna ,São Paulo,
Mauá,Itanhaém,Itariri,Santa Branca,São Paulo,
Mauá,Itanhaém,Itariri,Santa Branca,São Paulo,
Mauá,Itanhaém,Itariri ,Santa Branca,São Paulo,
Mauá,Itanhaém,Jacupiranga,Santa Branca,São Paulo,
Ribeirão Pires,Itanhaém,Jacupiranga,Santa Branca,São Paulo,
Ribeirão Pires,Itanhaém ,Jacupiranga,São José dos Campos,São Paulo,
Ribeirão Pires,Mongaguá,Jacupiranga,São José dos Campos,São Paulo,
Ribeirão Pires,Peruibe,Jacupiranga,São José dos Campos,São Paulo,
Ribeirão Pires,Peruibe,Miracatu,São José dos Campos,São Paulo,
Ribeirão Pires,Peruibe,Miracatu,São José dos Campos,São Paulo,
Ribeirão Pires,Peruibe,Miracatu,São José dos Campos,São Paulo,
Ribeirão Pires ,Peruibe,Miracatu,São José dos Campos,São Paulo,
Rio Grande da Serra,Peruibe,Pariquera-Açu,São José dos Campos,São Paulo,
Rio Grande da Serra,Peruibe,Pariquera-Açu,São José dos Campos,São Paulo,
Rio Grande da Serra,Peruibe,Pariquera-Açu,São José dos Campos,São Paulo,
Rio Grande da Serra ,Peruibe,Pariquera-Açu,São José dos Campos,São Paulo,
Rio Grande da Serra ,Peruibe,Pariquera-Açu,São José dos Campos,São Paulo,
